date,close,ma50,ma200,distance50,distance200
2025-10-16,201500,176824.0,142147.0,113.96,141.75
2025-10-17,207000,177990.0,142544.5,116.3,145.22
2025-10-20,212500,179374.0,142984.0,118.47,148.62
2025-10-21,216000,180688.0,143433.5,119.54,150.59
2025-10-22,212000,181814.0,143854.0,116.6,147.37
2025-10-23,222000,183142.0,144320.5,121.22,153.82
2025-10-24,222000,184476.0,144789.5,120.34,153.33
2025-10-27,228500,185844.0,145297.0,122.95,157.26
2025-10-28,232000,187288.0,145827.5,123.87,159.09
2025-10-29,232000,188772.0,146365.0,122.9,158.51
2025-10-30,225000,190014.0,146871.0,118.41,153.2
2025-10-31,245000,191662.0,147484.0,127.83,166.12
2025-11-03,243000,193358.0,148087.5,125.67,164.09
2025-11-04,239000,194958.0,148628.0,122.59,160.8
2025-11-05,229500,196418.0,149141.5,116.84,153.88
2025-11-06,232000,197962.0,149645.5,117.19,155.03
2025-11-07,222500,199318.0,150112.0,111.63,148.22
2025-11-10,224000,200646.0,150585.5,111.64,148.75
2025-11-11,227500,202006.0,151090.0,112.62,150.57
2025-11-12,226500,203310.0,151592.0,111.41,149.41
2025-11-13,221500,204502.0,152084.0,108.31,145.64
2025-11-14,213000,205552.0,152531.0,103.62,139.64
2025-11-17,215500,206618.0,152967.5,104.3,140.88
2025-11-18,204000,207300.0,153354.5,98.41,133.03
2025-11-19,215000,208116.0,153797.0,103.31,139.79
2025-11-20,218500,208918.0,154237.0,104.59,141.67
2025-11-21,217500,209704.0,154687.0,103.72,140.61
2025-11-24,226000,210650.0,155176.5,107.29,145.64
2025-11-25,241500,211874.0,155713.5,113.98,155.09
2025-11-26,257000,213404.0,156343.0,120.43,164.38
2025-11-27,255000,214744.0,156959.0,118.75,162.46
2025-11-28,251000,215956.0,157559.0,116.23,159.31
2025-12-01,250000,217176.0,158136.0,115.11,158.09
2025-12-02,252000,218358.0,158703.5,115.41,158.79
2025-12-03,261000,219736.0,159288.0,118.78,163.85
2025-12-04,265000,221146.0,159889.5,119.83,165.74
2025-12-05,263000,222452.0,160482.0,118.23,163.88
2025-12-08,262000,223552.0,161066.0,117.2,162.67
2025-12-09,269500,224862.0,161672.5,119.85,166.7
2025-12-10,268500,226202.0,162278.0,118.7,165.46
