date,close
2025-05-28,55900
2025-05-29,56100
2025-05-30,56200
2025-06-02,56800
2025-06-04,57800
2025-06-05,59100
2025-06-09,59800
2025-06-10,59200
2025-06-11,59900
2025-06-12,59500
2025-06-13,58300
2025-06-16,57200
2025-06-17,58100
2025-06-18,59800
2025-06-19,59200
2025-06-20,59500
2025-06-23,58000
2025-06-24,60500
2025-06-25,61300
2025-06-26,60200
2025-06-27,60800
2025-06-30,59800
2025-07-01,60200
2025-07-02,60800
2025-07-03,63800
2025-07-04,63300
2025-07-07,61700
2025-07-08,61400
2025-07-09,60400
2025-07-10,61000
2025-07-11,62600
2025-07-14,62500
2025-07-15,63700
2025-07-16,64700
2025-07-17,66700
2025-07-18,67100
2025-07-21,67800
2025-07-22,66000
2025-07-23,66400
2025-07-24,66000
2025-07-25,65900
2025-07-28,70400
2025-07-29,70600
2025-07-30,72600
2025-07-31,71400
2025-08-01,68900
2025-08-04,69700
2025-08-05,69900
2025-08-06,68800
2025-08-07,70500
2025-08-08,71800
2025-08-11,71000
2025-08-12,71100
2025-08-13,71900
2025-08-14,71600
2025-08-18,70000
2025-08-19,70000
2025-08-20,70500
2025-08-21,70600
2025-08-22,71400
2025-08-25,71500
2025-08-26,70300
2025-08-27,70600
2025-08-28,69600
2025-08-29,69700
2025-09-01,67600
2025-09-02,69100
2025-09-03,69800
2025-09-04,70100
2025-09-05,69500
2025-09-08,70100
2025-09-09,71500
2025-09-10,72600
2025-09-11,73400
2025-09-12,75400
2025-09-15,76500
2025-09-16,79400
2025-09-17,78200
2025-09-18,80500
2025-09-19,79700
2025-09-22,83500
2025-09-23,84700
2025-09-24,85400
2025-09-25,86100
2025-09-26,83300
2025-09-29,84200
2025-09-30,83900
2025-10-01,86000
2025-10-02,89000
2025-10-10,94400
2025-10-13,93300
2025-10-14,91600
2025-10-15,95000
2025-10-16,97700
2025-10-17,97900
2025-10-20,98100
2025-10-21,97500
2025-10-22,98600
2025-10-23,96500
2025-10-24,98800
2025-10-27,102000
2025-10-28,99500
2025-10-29,100500
2025-10-30,104100
2025-10-31,107500
2025-11-03,111100
2025-11-04,104900
2025-11-05,100600
2025-11-06,99200
2025-11-07,97900
2025-11-10,100600
2025-11-11,103500
2025-11-12,103100
2025-11-13,102800
2025-11-14,97200
2025-11-17,100600
2025-11-18,97800
2025-11-19,96500
2025-11-20,100600
2025-11-21,94800
2025-11-24,96700
2025-11-25,99300
2025-11-26,102800
2025-11-27,103500
2025-11-28,100500
2025-12-01,100800
2025-12-02,103400
2025-12-03,104500
2025-12-04,105100
2025-12-05,108400
2025-12-08,109500
2025-12-09,108400
2025-12-10,108000
2025-12-11,107300
2025-12-12,108900
2025-12-15,104800
2025-12-16,102800
2025-12-17,107900
2025-12-18,107600
2025-12-19,106300
2025-12-22,110500
2025-12-23,111500
2025-12-24,111100
2025-12-26,117000
2025-12-29,119500
2025-12-30,119900
2026-01-02,128500
2026-01-05,138100
2026-01-06,138900
2026-01-07,141000
2026-01-08,138800
2026-01-09,139000
2026-01-12,138800
2026-01-13,137600
2026-01-14,140300
2026-01-15,143900
2026-01-16,148900
2026-01-19,149300
2026-01-20,145200
2026-01-21,149500
2026-01-22,152300
2026-01-23,152100
2026-01-26,152100
2026-01-27,159500
2026-01-28,162400
2026-01-29,160700
2026-01-30,160500
2026-02-02,150400
2026-02-03,167500
2026-02-04,169100
2026-02-05,159300
2026-02-06,158600
2026-02-09,166400
2026-02-10,165800
2026-02-11,167800
2026-02-12,178600
2026-02-13,181200
2026-02-19,190000
2026-02-20,190100
2026-02-23,193000
2026-02-24,200000
2026-02-25,203500
2026-02-26,218000
2026-02-27,216500
2026-03-03,195100
2026-03-04,172200
2026-03-05,191600
2026-03-06,188200
2026-03-09,173500
2026-03-10,187900
2026-03-11,190000
2026-03-12,187900
2026-03-13,183500
2026-03-16,188700
2026-03-17,193900
2026-03-18,208500
2026-03-19,200500
2026-03-20,199400
2026-03-23,186300
2026-03-24,189700
2026-03-25,189000
2026-03-26,180100
2026-03-27,179700
2026-03-30,176300
2026-03-31,167200
2026-04-01,189600
2026-04-02,178400
2026-04-03,186200
2026-04-06,193100
2026-04-07,196500
2026-04-08,210500
2026-04-09,204000
2026-04-10,206000
2026-04-13,201000
2026-04-14,206500
2026-04-15,211000
2026-04-16,217500
2026-04-17,216000
2026-04-20,214500
2026-04-21,219000
2026-04-22,217500
2026-04-23,224500
2026-04-24,219500
2026-04-27,224500
2026-04-28,222000
2026-04-29,226000
2026-04-30,220500
2026-05-04,232500
2026-05-06,266000
2026-05-07,271500
2026-05-08,268500
2026-05-11,285500
2026-05-12,279000
2026-05-13,284000
2026-05-14,296000
2026-05-15,270500
2026-05-18,281000
2026-05-19,275500
2026-05-20,276000
2026-05-21,299500
2026-05-22,292500
2026-05-26,299000
2026-05-27,307000
2026-05-28,299500
2026-05-29,317000
2026-06-01,349000
2026-06-02,360500
2026-06-04,351500
2026-06-05,329000
2026-06-08,295500
2026-06-09,322000
2026-06-10,302500
2026-06-11,299000
2026-06-12,322500
2026-06-15,337000
2026-06-16,343000
2026-06-17,346500
2026-06-18,362500
2026-06-19,354000
2026-06-22,353500
2026-06-23,310000
2026-06-24,340500
2026-06-25,358500
2026-06-26,339500
2026-06-29,323000
2026-06-30,334000
2026-07-01,314500
2026-07-02,286000
2026-07-03,309500
2026-07-06,318000
2026-07-07,296000
2026-07-08,277500
2026-07-09,278000
2026-07-10,285000
